"","Zip Code","Median Income"
0,"10453","24421"
1,"10457","27036"
2,"10460","25948"
3,"10458","32129"
4,"10467","35381"
5,"10468","35398"
6,"10451","26979"
7,"10452","27206"
8,"10456","26724"
9,"10454","21542"
10,"10455","25489"
11,"10459","25762"
12,"10474","25896"
13,"10463","58881"
14,"10471","80932"
15,"10466","49906"
16,"10469","61090"
17,"10470","56658"
18,"10475","48734"
19,"10461","55847"
20,"10462","49962"
21,"10464","87853"
22,"10465","74079"
23,"10472","30593"
24,"10473","38924"
25,"11212","25677"
26,"11213","40604"
27,"11216","56025"
28,"11233","36009"
29,"11238","79013"
30,"11209","69578"
31,"11214","53151"
32,"11228","63697"
33,"11204","47341"
34,"11218","64152"
35,"11219","37665"
36,"11230","46013"
37,"11234","79490"
38,"11236","63700"
39,"11239","26002"
40,"11223","46310"
41,"11224","31630"
42,"11229","59287"
43,"11235","49653"
44,"11201","116446"
45,"11205","51574"
46,"11215","116893"
47,"11217","99085"
48,"11231","93575"
49,"11203","48140"
50,"11210","62202"
51,"11225","51926"
52,"11226","48495"
53,"11207","35809"
54,"11208","39588"
55,"11211","66113"
56,"11222","78287"
57,"11220","42559"
58,"11232","53908"
59,"11206","34122"
60,"11221","47170"
61,"11237","51269"
62,"10026","54349"
63,"10027","45536"
64,"10030","36118"
65,"10037","39979"
66,"10039","34197"
67,"10001","85221"
68,"10011","123208"
69,"10018","107861"
70,"10019","99063"
71,"10020","-666666666"
72,"10036","93707"
73,"10029","34015"
74,"10035","27932"
75,"10010","115084"
76,"10016","109250"
77,"10017","118469"
78,"10022","133208"
79,"10012","104561"
80,"10013","106056"
81,"10014","127973"
82,"10004","140450"
83,"10005","154213"
84,"10006","145893"
85,"10007","242644"
86,"10038","85032"
87,"10280","161419"
88,"10002","35449"
89,"10003","104441"
90,"10009","60521"
91,"10021","123842"
92,"10028","119203"
93,"10044","92623"
94,"10065","124322"
95,"10075","129594"
96,"10128","111937"
97,"10023","123951"
98,"10024","126107"
99,"10025","82352"
100,"10031","44040"
101,"10032","41890"
102,"10033","53044"
103,"10034","50909"
104,"10040","47189"
105,"11361","82020"
106,"11362","80828"
107,"11363","97784"
108,"11364","71030"
109,"11354","44512"
110,"11355","38370"
111,"11356","59712"
112,"11357","81053"
113,"11358","65932"
114,"11359","-666666666"
115,"11360","84476"
116,"11365","63455"
117,"11366","67115"
118,"11367","58924"
119,"11412","75307"
120,"11423","66455"
121,"11432","52975"
122,"11433","48795"
123,"11434","60702"
124,"11435","59535"
125,"11436","69259"
126,"11101","57866"
127,"11102","60436"
128,"11103","65229"
129,"11104","63122"
130,"11105","68050"
131,"11106","60725"
132,"11374","56863"
133,"11375","76467"
134,"11379","79573"
135,"11385","64481"
136,"11691","42434"
137,"11692","45816"
138,"11693","57443"
139,"11694","77547"
140,"11695",0
141,"11697","99792"
142,"11004","93315"
143,"11005","51801"
144,"11411","87231"
145,"11413","83459"
146,"11422","86996"
147,"11426","83376"
148,"11427","72874"
149,"11428","71663"
150,"11429","80464"
151,"11414","72632"
152,"11415","65981"
153,"11416","61285"
154,"11417","69989"
155,"11418","67003"
156,"11419","65711"
157,"11420","66220"
158,"11421","69053"
159,"11368","47862"
160,"11369","53426"
161,"11370","59901"
162,"11372","53963"
163,"11373","49098"
164,"11377","54989"
165,"11378","68460"
166,"10302","60968"
167,"10303","59898"
168,"10310","69838"
169,"10306","80025"
170,"10307","81356"
171,"10308","91953"
172,"10309","100343"
173,"10312","90797"
174,"10301","55818"
175,"10304","54567"
176,"10305","76044"
177,"10314","80956"
